@RELATION play

@ATTRIBUTE month	{Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec}
@ATTRIBUTE nationalholiday 	{national,nnational}
@ATTRIBUTE schoolseason	{school,nschool,mayschool}
@ATTRIBUTE twodayweekend	{twoday,ntwoday}
@ATTRIBUTE youth	{youth,nyouth,mayyouth}
@ATTRIBUTE specialholiday	{spe,nospe}
@ATTRIBUTE consecutiveholiday	{conse,nconse}
@ATTRIBUTE vacation	{vaca,nvaca,mayvaca}
@ATTRIBUTE result 	{yes,no}

@DATA
Jan,national,nschool,ntwoday,nyouth,spe,conse,nvaca,yes 		%1/1
Jan,nnational,nschool,twoday,nyouth,nospe,conse,nvaca,yes		%1/2
Jan,nnational,nschool,twoday,nyouth,nospe,conse,nvaca,yes 		%1/3
Jan,nnational,nschool,ntwoday,nyouth,nospe,nconse,nvaca,no		%1/4
Jan,nnational,nschool,ntwoday,nyouth,nospe,nconse,nvaca,no		%1/5
Jan,nnational,nschool,ntwoday,nyouth,nospe,nconse,nvaca,no		%1/6
Jan,nnational,nschool,ntwoday,nyouth,nospe,nconse,nvaca,no		%1/7
Jan,nnational,nschool,ntwoday,nyouth,nospe,nconse,nvaca,no		%1/8
Jan,nnational,nschool,twoday,nyouth,nospe,nconse,nvaca,yes		%1/9
Jan,nnational,nschool,twoday,nyouth,nospe,nconse,nvaca,yes 		%1/10
Jan,nnational,nschool,ntwoday,nyouth,nospe,nconse,nvaca,no		%1/11
Jan,nnational,nschool,ntwoday,nyouth,nospe,nconse,mayvaca,yes	%1/12
Jan,nnational,nschool,ntwoday,nyouth,nospe,nconse,mayvaca,yes	%1/13
Jan,nnational,nschool,ntwoday,nyouth,nospe,nconse,mayvaca,yes	%1/14
Jan,nnational,nschool,ntwoday,nyouth,nospe,nconse,mayvaca,yes	%1/15
Jan,nnational,nschool,twoday,nyouth,nospe,nconse,vaca,yes		%1/16
Jan,nnational,nschool,twoday,nyouth,nospe,nconse,vaca,yes 		%1/17
Jan,nnational,nschool,ntwoday,nyouth,nospe,nconse,vaca,yes		%1/18
Jan,nnational,nschool,ntwoday,nyouth,nospe,nconse,vaca,yes		%1/19
Jan,nnational,nschool,ntwoday,nyouth,nospe,nconse,vaca,yes		%1/20
Jan,nnational,nschool,ntwoday,nyouth,nospe,nconse,vaca,yes		%1/21
Jan,nnational,nschool,ntwoday,nyouth,nospe,nconse,vaca,yes		%1/22
